rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
2830	FAM126B	family with sequence similarity 126, member B	1633	19	0	0	1	0	0	0	1	1	1	3.060081e-01	NaN	NaN	3.060081e-01	1
2831	ATAD2B	ATPase family, AAA domain containing 2B	4485	47	0	1	1	0	0	0	1	1	1	3.061726e-01	NaN	NaN	3.061726e-01	1
2832	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	2867	30	0	1	1	0	0	0	1	1	1	3.062264e-01	NaN	NaN	3.062264e-01	1
2833	ADPRHL1	ADP-ribosylhydrolase like 1	1091	16	1	0	1	0	0	0	1	1	1	3.062499e-01	NaN	NaN	3.062499e-01	1
2834	PGM1	phosphoglucomutase 1	2033	8	0	0	1	0	0	0	1	1	1	3.062948e-01	NaN	NaN	3.062948e-01	1
2835	DPEP2	dipeptidase 2	1501	48	0	0	1	0	0	0	1	1	1	3.063947e-01	NaN	NaN	3.063947e-01	1
2836	DIS3L2	DIS3 mitotic control homolog (S. cerevisiae)-like 2	2738	11	0	0	2	0	0	0	2	2	2	8.990661e-02	1	9.170000e-01	3.064902e-01	1
2837	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	12503	8	0	2	4	0	1	0	5	5	5	1.408845e-01	1	6.100000e-01	3.067758e-01	1
2838	AADACL2	arylacetamide deacetylase-like 2	1223	62	0	0	1	0	0	0	1	1	1	3.068299e-01	NaN	NaN	3.068299e-01	1
2839	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)	4879	2	0	0	1	0	0	0	1	1	1	3.069127e-01	NaN	NaN	3.069127e-01	1
2840	FRMPD1	FERM and PDZ domain containing 1	4797	2	0	1	4	0	0	0	4	4	4	3.162618e-01	1	1.940000e-01	3.070391e-01	1
2841	STX11	syntaxin 11	868	189	0	0	1	0	0	0	1	1	1	3.074026e-01	NaN	NaN	3.074026e-01	1
2842	ACSS3	acyl-CoA synthetase short-chain family member 3	2123	7	0	0	1	0	0	0	1	1	1	3.074221e-01	NaN	NaN	3.074221e-01	1
2843	ABHD2	abhydrolase domain containing 2	1314	36	0	1	1	0	0	0	1	1	1	3.074553e-01	NaN	NaN	3.074553e-01	1
2844	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	3471	0	0	0	1	0	1	0	2	2	2	9.032228e-02	1	8.000000e-01	3.074905e-01	1
2845	DCAF11	DDB1 and CUL4 associated factor 11	1697	3	0	0	3	0	0	0	3	3	3	9.049782e-02	1	8.260000e-01	3.079125e-01	1
2846	CARD17	caspase recruitment domain family, member 17	346	183	0	0	1	0	0	0	1	1	1	3.079167e-01	NaN	NaN	3.079167e-01	1
2847	ZNF785	zinc finger protein 785	1228	32	0	0	2	0	0	0	2	2	2	9.051043e-02	1	8.610000e-01	3.079428e-01	1
2848	GRASP	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	1218	2	0	0	2	0	0	0	2	2	2	9.051107e-02	1	9.840000e-01	3.079443e-01	1
2849	CPN2	carboxypeptidase N, polypeptide 2	1642	81	0	0	1	0	0	0	1	1	1	3.081927e-01	NaN	NaN	3.081927e-01	1
2850	NDRG1	N-myc downstream regulated gene 1	1245	12	0	0	1	0	0	0	1	1	1	3.082314e-01	NaN	NaN	3.082314e-01	1
2851	TWIST1	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	613	4	0	0	1	0	0	0	1	1	1	3.082770e-01	NaN	NaN	3.082770e-01	1
2852	IL1RAP	interleukin 1 receptor accessory protein	2491	13	0	0	0	0	0	1	1	1	1	3.083209e-01	NaN	NaN	3.083209e-01	1
2853	MAN2B1	mannosidase, alpha, class 2B, member 1	3179	2	1	0	3	0	0	0	3	3	3	1.619647e-01	1	4.500000e-01	3.083984e-01	1
2854	STAG2	stromal antigen 2	3939	7	0	0	1	0	0	0	1	1	1	3.085636e-01	NaN	NaN	3.085636e-01	1
2855	BVES	blood vessel epicardial substance	1111	166	0	0	1	0	0	0	1	1	1	3.085676e-01	NaN	NaN	3.085676e-01	1
2856	METTL7B	methyltransferase like 7B	739	40	0	0	1	0	0	0	1	1	1	3.087309e-01	NaN	NaN	3.087309e-01	1
2857	GUCY1A2	guanylate cyclase 1, soluble, alpha 2	2227	21	0	0	1	0	0	0	1	1	1	3.088093e-01	NaN	NaN	3.088093e-01	1
2858	MMRN2	multimerin 2	2887	23	0	0	1	0	0	0	1	1	1	3.088149e-01	NaN	NaN	3.088149e-01	1
2859	PLEKHG5	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	3344	12	0	1	2	0	0	0	2	2	2	3.117670e-01	1	2.670000e-01	3.092037e-01	1
2860	USP20	ubiquitin specific peptidase 20	2905	6	0	0	1	0	0	0	1	1	1	3.093149e-01	NaN	NaN	3.093149e-01	1
2861	KIF7	kinesin family member 7	4104	23	1	0	2	0	0	0	2	2	2	9.114457e-02	1	7.360000e-01	3.094639e-01	1
2862	TOM1L1	target of myb1 (chicken)-like 1	1490	7	0	0	1	0	0	0	1	1	1	3.095051e-01	NaN	NaN	3.095051e-01	1
2863	SIRT4	sirtuin (silent mating type information regulation 2 homolog) 4 (S. cerevisiae)	956	235	0	0	1	0	0	0	1	1	1	3.095922e-01	NaN	NaN	3.095922e-01	1
2864	CSTF1	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa	1316	26	0	0	1	0	0	0	1	1	1	3.096148e-01	NaN	NaN	3.096148e-01	1
2865	PRSS12	protease, serine, 12 (neurotrypsin, motopsin)	2678	38	0	0	2	0	0	0	2	2	2	2.599100e-01	1	3.170000e-01	3.096647e-01	1
2866	C1orf110	chromosome 1 open reading frame 110	921	212	0	0	0	0	1	0	1	1	1	3.096893e-01	NaN	NaN	3.096893e-01	1
2867	TAB2	TGF-beta activated kinase 1/MAP3K7 binding protein 2	2396	32	0	0	2	0	0	0	2	2	2	9.133472e-02	1	8.420000e-01	3.099192e-01	1
2868	PRM2	protamine 2	313	4	0	0	1	0	0	0	1	1	1	3.099835e-01	NaN	NaN	3.099835e-01	1
2869	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	1749	17	1	0	1	0	0	0	1	1	1	3.099962e-01	NaN	NaN	3.099962e-01	1
2870	TCEB3C	transcription elongation factor B polypeptide 3C (elongin A3)	3280	73	0	0	1	0	0	0	1	1	1	3.100665e-01	NaN	NaN	3.100665e-01	1
2871	CDC27	cell division cycle 27 homolog (S. cerevisiae)	2565	21	0	1	1	0	0	0	1	1	1	3.101214e-01	NaN	NaN	3.101214e-01	1
2872	HIP1R	huntingtin interacting protein 1 related	3333	47	3	0	1	0	0	0	1	1	1	3.104257e-01	NaN	NaN	3.104257e-01	1
2873	WDR66	WD repeat domain 66	3655	21	0	0	1	0	0	0	1	1	1	3.105781e-01	NaN	NaN	3.105781e-01	1
2874	CTAG2	cancer/testis antigen 2	778	1	0	0	1	0	0	0	1	1	1	3.106057e-01	NaN	NaN	3.106057e-01	1
2875	GAB2	GRB2-associated binding protein 2	2069	54	1	0	1	0	0	0	1	1	1	3.107096e-01	NaN	NaN	3.107096e-01	1
2876	MCM8	minichromosome maintenance complex component 8	2725	8	4	0	1	0	0	0	1	1	1	3.107200e-01	NaN	NaN	3.107200e-01	1
2877	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	1093	147	0	0	1	0	0	0	1	1	1	3.108035e-01	NaN	NaN	3.108035e-01	1
2878	TSG101	tumor susceptibility gene 101	1209	9	0	0	1	0	0	0	1	1	1	3.108079e-01	NaN	NaN	3.108079e-01	1
2879	ZNF564	zinc finger protein 564	1674	158	0	0	1	0	0	0	1	1	1	3.109086e-01	NaN	NaN	3.109086e-01	1
2880	T	T, brachyury homolog (mouse)	1336	192	0	0	1	0	0	0	1	1	1	3.111120e-01	NaN	NaN	3.111120e-01	1
2881	THAP4	THAP domain containing 4	1762	48	0	1	1	0	0	0	1	1	1	3.111664e-01	NaN	NaN	3.111664e-01	1
2882	GTF3C5	general transcription factor IIIC, polypeptide 5, 63kDa	1625	6	0	0	1	0	0	0	1	1	1	3.114845e-01	NaN	NaN	3.114845e-01	1
2883	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	1485	161	0	0	1	0	0	0	1	1	1	3.115076e-01	NaN	NaN	3.115076e-01	1
2884	PCDHGA12	protocadherin gamma subfamily A, 12	10279	34	0	0	1	0	0	0	1	1	1	3.116840e-01	NaN	NaN	3.116840e-01	1
2885	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	1122	37	1	0	1	0	0	0	1	1	1	3.117884e-01	NaN	NaN	3.117884e-01	1
2886	ADAD2	adenosine deaminase domain containing 2	2038	54	0	0	1	0	0	0	1	1	1	3.119160e-01	NaN	NaN	3.119160e-01	1
2887	DAPK1	death-associated protein kinase 1	4389	23	0	1	3	0	0	0	3	3	3	9.224257e-02	1	6.300000e-01	3.120874e-01	1
2888	ZNF280B	zinc finger protein 280B	1636	159	0	0	1	0	0	0	1	1	1	3.121984e-01	NaN	NaN	3.121984e-01	1
2889	GNPAT	glyceronephosphate O-acyltransferase	2555	16	1	0	1	0	0	0	1	1	1	3.122084e-01	NaN	NaN	3.122084e-01	1
2890	SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	2238	211	0	0	1	0	0	0	1	1	1	3.122678e-01	NaN	NaN	3.122678e-01	1
2891	PRSS35	protease, serine, 35	1246	17	0	0	1	0	0	0	1	1	1	3.124199e-01	NaN	NaN	3.124199e-01	1
2892	C17orf85	chromosome 17 open reading frame 85	1913	20	0	0	1	0	0	0	1	1	1	3.124806e-01	NaN	NaN	3.124806e-01	1
2893	SLC24A1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	2828	41	1	0	1	0	0	1	2	2	2	9.250285e-02	1	8.470000e-01	3.127073e-01	1
2894	RNF180	ring finger protein 180	1829	77	0	0	1	0	0	0	1	1	1	3.127571e-01	NaN	NaN	3.127571e-01	1
2895	BBS1	Bardet-Biedl syndrome 1	1987	11	0	0	2	0	0	0	2	2	2	9.256124e-02	1	7.230000e-01	3.128463e-01	1
2896	CRAMP1L	Crm, cramped-like (Drosophila)	3886	3	0	0	1	0	0	0	1	1	1	3.129915e-01	NaN	NaN	3.129915e-01	1
2897	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	403	184	0	0	1	0	0	0	1	1	1	3.133106e-01	NaN	NaN	3.133106e-01	1
2898	OR4K2	olfactory receptor, family 4, subfamily K, member 2	945	51	0	0	1	0	0	0	1	1	1	3.133650e-01	NaN	NaN	3.133650e-01	1
2899	FIBCD1	fibrinogen C domain containing 1	1414	9	0	1	1	0	0	0	1	1	1	3.136327e-01	NaN	NaN	3.136327e-01	1
2900	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	2346	73	0	1	1	0	0	0	1	1	1	3.137406e-01	NaN	NaN	3.137406e-01	1
2901	ZFP28	zinc finger protein 28 homolog (mouse)	2637	2	0	0	1	0	0	0	1	1	1	3.139715e-01	NaN	NaN	3.139715e-01	1
2902	OR4K5	olfactory receptor, family 4, subfamily K, member 5	970	51	0	0	1	0	0	0	1	1	1	3.140734e-01	NaN	NaN	3.140734e-01	1
2903	ESX1	ESX homeobox 1	1235	21	0	0	1	0	0	0	1	1	1	3.142612e-01	NaN	NaN	3.142612e-01	1
2904	NFIB	nuclear factor I/B	1295	115	0	0	1	0	0	0	1	1	1	3.147499e-01	NaN	NaN	3.147499e-01	1
2905	KHK	ketohexokinase (fructokinase)	1728	8	0	0	1	0	0	0	1	1	1	3.147863e-01	NaN	NaN	3.147863e-01	1
2906	CALML3	calmodulin-like 3	450	16	0	0	1	0	0	0	1	1	1	3.149075e-01	NaN	NaN	3.149075e-01	1
2907	RCAN2	regulator of calcineurin 2	606	213	0	0	1	0	0	0	1	1	1	3.149260e-01	NaN	NaN	3.149260e-01	1
2908	TLR2	toll-like receptor 2	2359	101	0	0	1	0	0	0	1	1	1	3.150961e-01	NaN	NaN	3.150961e-01	1
2909	SETX	senataxin	8130	17	0	0	1	0	0	0	1	1	1	3.151832e-01	NaN	NaN	3.151832e-01	1
2910	ANO6	anoctamin 6	3101	4	1	1	0	1	0	0	1	1	1	3.151968e-01	NaN	NaN	3.151968e-01	1
2911	HIPK1	homeodomain interacting protein kinase 1	3797	4	0	0	1	0	0	0	1	1	1	3.153366e-01	NaN	NaN	3.153366e-01	1
2912	RPS10	ribosomal protein S10	518	111	0	0	1	0	0	0	1	1	1	3.153870e-01	NaN	NaN	3.153870e-01	1
2913	CYP11B2	cytochrome P450, family 11, subfamily B, polypeptide 2	1546	65	1	0	2	0	0	0	2	2	2	9.365460e-02	1	9.800000e-01	3.154420e-01	1
2914	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1	1180	108	0	0	1	0	0	0	1	1	1	3.159668e-01	NaN	NaN	3.159668e-01	1
2915	HRG	histidine-rich glycoprotein	1604	40	0	0	1	0	0	0	1	1	1	3.160027e-01	NaN	NaN	3.160027e-01	1
2916	EMR3	egf-like module containing, mucin-like, hormone receptor-like 3	2019	1	0	0	2	0	0	0	2	2	2	1.660293e-01	1	3.460000e-01	3.161945e-01	1
2917	CCDC114	coiled-coil domain containing 114	2065	3	1	0	1	0	0	0	1	1	1	3.165676e-01	NaN	NaN	3.165676e-01	1
2918	MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2	2935	13	0	0	3	0	0	0	3	3	3	9.417818e-02	1	5.810000e-01	3.166804e-01	1
2919	MEOX2	mesenchyme homeobox 2	923	2	0	1	1	0	0	0	1	1	1	3.167128e-01	NaN	NaN	3.167128e-01	1
2920	MOGAT3	monoacylglycerol O-acyltransferase 3	1050	23	1	0	1	0	0	0	1	1	1	3.167250e-01	NaN	NaN	3.167250e-01	1
2921	ARGLU1	arginine and glutamate rich 1	834	155	0	0	1	0	0	1	2	2	2	9.428082e-02	1	4.360000e-01	3.169229e-01	1
2922	ZBTB17	zinc finger and BTB domain containing 17	2470	18	0	1	2	0	0	0	2	2	2	5.455751e-01	1	1.500000e-01	3.171676e-01	1
2923	GPS2	G protein pathway suppressor 2	1789	39	0	1	1	0	0	1	2	2	2	9.443185e-02	1	7.530000e-01	3.172794e-01	1
2924	HEATR2	HEAT repeat containing 2	2620	65	0	0	2	0	0	0	2	2	2	9.448503e-02	1	5.480000e-01	3.174049e-01	1
2925	REPS1	RALBP1 associated Eps domain containing 1	2467	13	0	0	1	0	0	0	1	1	1	3.174704e-01	NaN	NaN	3.174704e-01	1
2926	DHRSX	dehydrogenase/reductase (SDR family) X-linked	2999	11	0	0	1	0	0	0	1	1	1	3.177750e-01	NaN	NaN	3.177750e-01	1
2927	KIF9	kinesin family member 9	2503	9	0	0	1	0	0	0	1	1	1	3.178667e-01	NaN	NaN	3.178667e-01	1
2928	SAMD4B	sterile alpha motif domain containing 4B	2129	18	0	0	1	0	0	0	1	1	1	3.179310e-01	NaN	NaN	3.179310e-01	1
2929	MKKS	McKusick-Kaufman syndrome	1727	106	0	0	1	0	0	0	1	1	1	3.179479e-01	NaN	NaN	3.179479e-01	1
2930	GZF1	GDNF-inducible zinc finger protein 1	2152	24	0	1	1	0	0	1	2	2	2	1.549333e-01	1	3.300000e-01	3.181927e-01	1
2931	CCDC102A	coiled-coil domain containing 102A	1681	92	0	0	1	0	0	0	1	1	1	3.182066e-01	NaN	NaN	3.182066e-01	1
2932	PRDM14	PR domain containing 14	1744	40	0	0	1	0	0	0	1	1	1	3.182937e-01	NaN	NaN	3.182937e-01	1
2933	CASKIN2	CASK interacting protein 2	3694	37	0	0	0	0	0	1	1	1	1	3.185314e-01	NaN	NaN	3.185314e-01	1
2934	ITPR2	inositol 1,4,5-triphosphate receptor, type 2	8330	3	0	1	1	0	1	0	2	2	2	9.501689e-02	1	4.430000e-01	3.186582e-01	1
2935	RSF1	remodeling and spacing factor 1	4386	14	0	3	4	0	0	0	4	1	4	8.882852e-01	1	8.300000e-02	3.187279e-01	1
2936	BRWD1	bromodomain and WD repeat domain containing 1	7378	17	0	1	2	0	0	0	2	2	2	5.626001e-01	1	1.070000e-01	3.188054e-01	1
2937	CANX	calnexin	1835	31	0	0	1	0	0	0	1	1	1	3.188432e-01	NaN	NaN	3.188432e-01	1
2938	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	1110	76	0	0	1	0	0	0	1	1	1	3.188845e-01	NaN	NaN	3.188845e-01	1
2939	CACNG7	calcium channel, voltage-dependent, gamma subunit 7	846	8	0	0	1	0	0	0	1	1	1	3.191348e-01	NaN	NaN	3.191348e-01	1
2940	PLEKHA5	pleckstrin homology domain containing, family A member 5	3771	0	0	0	1	0	0	0	1	1	1	3.195489e-01	NaN	NaN	3.195489e-01	1
2941	MRPS24	mitochondrial ribosomal protein S24	518	220	0	0	1	0	0	0	1	1	1	3.195953e-01	NaN	NaN	3.195953e-01	1
2942	MITF	microphthalmia-associated transcription factor	1836	21	0	0	1	0	0	0	1	1	1	3.196293e-01	NaN	NaN	3.196293e-01	1
2943	UBN1	ubinuclein 1	3628	30	0	1	1	0	0	0	1	1	1	3.198546e-01	NaN	NaN	3.198546e-01	1
2944	SEZ6L2	seizure related 6 homolog (mouse)-like 2	3485	7	0	1	3	0	0	0	3	3	3	9.559332e-02	1	9.260000e-01	3.200132e-01	1
2945	ZNF283	zinc finger protein 283	2054	137	0	0	0	0	0	1	1	1	1	3.201139e-01	NaN	NaN	3.201139e-01	1
2946	DST	dystonin	20488	1	0	2	3	0	0	1	4	4	4	2.498659e-01	1	3.350000e-01	3.202604e-01	1
2947	SESN2	sestrin 2	1479	12	0	1	2	0	0	0	2	2	2	9.575959e-02	1	3.330000e-01	3.204034e-01	1
2948	RBM15	RNA binding motif protein 15	2946	5	0	0	1	0	0	0	1	1	1	3.204781e-01	NaN	NaN	3.204781e-01	1
2949	DOLK	dolichol kinase	1677	59	0	0	2	0	0	0	2	2	2	9.579582e-02	1	7.870000e-01	3.204884e-01	1
2950	COL18A1	collagen, type XVIII, alpha 1	5536	13	1	1	3	0	0	0	3	3	3	2.270164e-01	1	2.360000e-01	3.205004e-01	1
2951	MSH4	mutS homolog 4 (E. coli)	3117	17	0	0	1	1	0	0	2	2	2	9.592208e-02	1	5.630000e-01	3.207844e-01	1
2952	WSCD2	WSC domain containing 2	1726	5	0	0	1	0	0	0	1	1	1	3.210573e-01	NaN	NaN	3.210573e-01	1
2953	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	4113	19	0	1	0	1	0	0	1	1	1	3.210906e-01	NaN	NaN	3.210906e-01	1
2954	NCAN	neurocan	4022	74	1	1	3	0	0	0	3	3	3	9.605326e-02	1	9.470000e-01	3.210919e-01	1
2955	PCYT1B	phosphate cytidylyltransferase 1, choline, beta	1238	107	0	0	1	0	0	0	1	1	1	3.212082e-01	NaN	NaN	3.212082e-01	1
2956	CDC34	cell division cycle 34 homolog (S. cerevisiae)	727	30	0	0	1	0	0	0	1	1	1	3.212395e-01	NaN	NaN	3.212395e-01	1
2957	SERPINA11	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	1285	73	0	0	1	0	0	0	1	1	1	3.215653e-01	NaN	NaN	3.215653e-01	1
2958	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	837	2	0	0	1	0	0	0	1	1	1	3.218478e-01	NaN	NaN	3.218478e-01	1
2959	TP53BP2	tumor protein p53 binding protein, 2	3473	19	0	0	1	0	0	0	1	1	1	3.221776e-01	NaN	NaN	3.221776e-01	1
2960	BRD9	bromodomain containing 9	1874	23	0	0	1	0	0	0	1	1	1	3.223700e-01	NaN	NaN	3.223700e-01	1
2961	KIAA0368	KIAA0368	6254	6	0	0	1	0	0	0	1	1	1	3.227553e-01	NaN	NaN	3.227553e-01	1
2962	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	1863	1	0	0	1	0	0	0	1	1	1	3.229693e-01	NaN	NaN	3.229693e-01	1
2963	FMR1	fragile X mental retardation 1	1963	17	0	0	0	0	0	1	1	1	1	3.229731e-01	NaN	NaN	3.229731e-01	1
2964	CCDC85A	coiled-coil domain containing 85A	1682	281	0	0	0	0	0	1	1	1	1	3.230126e-01	NaN	NaN	3.230126e-01	1
2965	OTUD4	OTU domain containing 4	3232	16	0	0	1	0	0	0	1	1	1	3.231846e-01	NaN	NaN	3.231846e-01	1
2966	KRT15	keratin 15	1400	14	0	0	1	0	0	0	1	1	1	3.232917e-01	NaN	NaN	3.232917e-01	1
2967	ITGB7	integrin, beta 7	2453	36	0	0	1	0	0	0	1	1	1	3.234115e-01	NaN	NaN	3.234115e-01	1
2968	ATP7B	ATPase, Cu++ transporting, beta polypeptide	4482	21	0	1	2	0	0	0	2	2	2	1.911316e-01	1	8.700000e-02	3.235265e-01	1
2969	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2408	23	0	0	1	0	0	0	1	1	1	3.235611e-01	NaN	NaN	3.235611e-01	1
2970	XPO1	exportin 1 (CRM1 homolog, yeast)	3312	5	0	0	1	0	0	0	1	1	1	3.239124e-01	NaN	NaN	3.239124e-01	1
2971	IGF2R	insulin-like growth factor 2 receptor	7664	13	0	1	2	0	0	0	2	2	2	3.243442e-01	1	2.850000e-01	3.240123e-01	1
2972	ZNF385B	zinc finger protein 385B	1475	109	0	0	1	0	0	0	1	1	1	3.242018e-01	NaN	NaN	3.242018e-01	1
2973	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	1657	40	0	0	0	0	0	1	1	1	1	3.243039e-01	NaN	NaN	3.243039e-01	1
2974	ESRRG	estrogen-related receptor gamma	1402	39	1	0	1	0	0	0	1	1	1	3.243359e-01	NaN	NaN	3.243359e-01	1
2975	PDLIM7	PDZ and LIM domain 7 (enigma)	1542	67	1	0	1	0	0	0	1	1	1	3.243980e-01	NaN	NaN	3.243980e-01	1
2976	DNAH1	dynein, axonemal, heavy chain 1	13108	1	0	0	3	0	0	0	3	3	3	1.865914e-01	1	4.230000e-01	3.246737e-01	1
2977	NR1H2	nuclear receptor subfamily 1, group H, member 2	1415	27	0	0	1	0	0	0	1	1	1	3.247411e-01	NaN	NaN	3.247411e-01	1
2978	TGFBI	transforming growth factor, beta-induced, 68kDa	2116	84	1	0	0	0	0	1	1	1	1	3.248815e-01	NaN	NaN	3.248815e-01	1
2979	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	1461	4	0	2	1	0	0	0	1	1	1	3.252206e-01	NaN	NaN	3.252206e-01	1
2980	SCIN	scinderin	2208	12	0	0	1	0	0	0	1	1	1	3.252397e-01	NaN	NaN	3.252397e-01	1
2981	TP53TG5	TP53 target 5	893	6	1	0	1	0	0	0	1	1	1	3.253320e-01	NaN	NaN	3.253320e-01	1
2982	AXL	AXL receptor tyrosine kinase	2761	25	0	0	1	0	0	0	1	1	1	3.254380e-01	NaN	NaN	3.254380e-01	1
2983	SETD1A	SET domain containing 1A	5196	41	0	1	2	0	0	1	3	3	3	9.791980e-02	1	7.420000e-01	3.254469e-01	1
2984	MAGEA1	melanoma antigen family A, 1 (directs expression of antigen MZ2-E)	941	459	0	0	1	0	0	0	1	1	1	3.255468e-01	NaN	NaN	3.255468e-01	1
2985	PEBP4	phosphatidylethanolamine-binding protein 4	709	163	0	0	1	0	0	0	1	1	1	3.255497e-01	NaN	NaN	3.255497e-01	1
2986	NPTN	neuroplastin	1230	72	0	0	1	0	0	0	1	1	1	3.258012e-01	NaN	NaN	3.258012e-01	1
2987	FIP1L1	FIP1 like 1 (S. cerevisiae)	1884	8	0	0	1	0	0	0	1	1	1	3.261515e-01	NaN	NaN	3.261515e-01	1
2988	IPO4	importin 4	3897	24	0	0	1	0	0	0	1	1	1	3.262710e-01	NaN	NaN	3.262710e-01	1
2989	EN1	engrailed homeobox 1	1183	142	0	0	1	0	0	0	1	1	1	3.263456e-01	NaN	NaN	3.263456e-01	1
2990	MAP3K4	mitogen-activated protein kinase kinase kinase 4	4931	5	0	0	1	0	0	0	1	1	1	3.267619e-01	NaN	NaN	3.267619e-01	1
2991	ACTRT2	actin-related protein T2	1136	0	0	1	1	0	0	0	1	1	1	3.267701e-01	NaN	NaN	3.267701e-01	1
2992	PAX7	paired box 7	1711	10	0	0	2	0	0	0	2	2	2	3.319446e-01	1	1.900000e-01	3.269962e-01	1
2993	FBXO31	F-box protein 31	1654	17	0	0	1	0	0	0	1	1	1	3.272939e-01	NaN	NaN	3.272939e-01	1
2994	MYO7A	myosin VIIA	6872	0	0	0	2	0	1	0	3	3	3	9.875210e-02	1	5.080000e-01	3.273773e-01	1
2995	PMM1	phosphomannomutase 1	819	168	0	0	1	0	0	0	1	1	1	3.278324e-01	NaN	NaN	3.278324e-01	1
2996	TTYH3	tweety homolog 3 (Drosophila)	1624	47	0	0	1	0	0	0	1	1	1	3.278646e-01	NaN	NaN	3.278646e-01	1
2997	TMEM190	transmembrane protein 190	554	163	0	0	1	0	0	0	1	1	1	3.278988e-01	NaN	NaN	3.278988e-01	1
2998	CCDC87	coiled-coil domain containing 87	2623	51	0	0	2	0	0	0	2	2	2	9.899420e-02	1	9.380000e-01	3.279375e-01	1
2999	ARMC8	armadillo repeat containing 8	2140	77	1	0	1	0	0	0	1	1	1	3.280366e-01	NaN	NaN	3.280366e-01	1
3000	SIAH3	siah E3 ubiquitin protein ligase family member 3	816	182	0	0	1	0	0	0	1	1	1	3.281503e-01	NaN	NaN	3.281503e-01	1
3001	JPH3	junctophilin 3	2263	117	0	0	2	0	0	0	2	2	2	9.912529e-02	1	7.370000e-01	3.282406e-01	1
3002	LIX1	Lix1 homolog (chicken)	869	6	0	0	1	0	0	0	1	1	1	3.282492e-01	NaN	NaN	3.282492e-01	1
3003	ZNF574	zinc finger protein 574	2695	22	0	0	2	0	0	0	2	2	2	9.919017e-02	1	8.670000e-01	3.283905e-01	1
3004	AFF2	AF4/FMR2 family, member 2	4071	7	0	0	1	0	0	0	1	1	1	3.284845e-01	NaN	NaN	3.284845e-01	1
3005	TRIM21	tripartite motif-containing 21	1452	14	0	0	1	0	0	0	1	1	1	3.287578e-01	NaN	NaN	3.287578e-01	1
3006	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	2399	2	0	0	2	0	0	0	2	2	2	2.674496e-01	1	3.320000e-01	3.290857e-01	1
3007	COL4A2	collagen, type IV, alpha 2	5327	1	1	0	2	0	0	0	2	2	2	4.441811e-01	1	2.600000e-02	3.290980e-01	1
3008	MMP16	matrix metallopeptidase 16 (membrane-inserted)	2014	20	0	0	1	0	0	0	1	1	1	3.291261e-01	NaN	NaN	3.291261e-01	1
3009	C1orf172	chromosome 1 open reading frame 172	1209	42	0	0	1	0	0	0	1	1	1	3.292432e-01	NaN	NaN	3.292432e-01	1
3010	IRF3	interferon regulatory factor 3	1507	75	0	0	1	0	0	0	1	1	1	3.293290e-01	NaN	NaN	3.293290e-01	1
3011	ANKRD52	ankyrin repeat domain 52	3341	20	0	0	1	0	0	0	1	1	1	3.294055e-01	NaN	NaN	3.294055e-01	1
3012	TBX6	T-box 6	1370	29	0	0	1	0	0	0	1	1	1	3.295829e-01	NaN	NaN	3.295829e-01	1
3013	PHLDB1	pleckstrin homology-like domain, family B, member 1	4222	7	0	0	4	0	0	0	4	4	4	9.980857e-02	1	7.220000e-01	3.298175e-01	1
3014	ZNF521	zinc finger protein 521	3963	56	0	0	1	0	0	0	1	1	1	3.298952e-01	NaN	NaN	3.298952e-01	1
3015	CSNK1E	casein kinase 1, epsilon	1291	33	1	0	1	0	0	0	1	1	1	3.299591e-01	NaN	NaN	3.299591e-01	1
